name,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,latitude,longitude,distance,monthly_rent,rent_efficiency_per_bedroom,log_rent,distance_norm,distance_bucket,drive_time,transit_time,commute_gap,commute_score,rent_per_min_drive,neigh_score,drive_time_norm,transit_time_norm,rent_norm,score,score_norm
Westwood lovely three bedrooms three bathrooms,West Los Angeles,City of Los Angeles,Entire condo,Entire home/apt,6,3.0,3.0,3.0,34.04966,-118.43555,2.15244070766127,7182.0,2394.0,8.879472402074802,-2.2912620860776416,close,11.55,16.65,5.099999999999998,14.1,621.8181818181818,0.5,0.33583959899749377,0.10810810810810809,0.9181459505598356,-0.43963188154480404,0.4169811369217901
Charming Beverly Hills Home,Beverly Hills,Other Cities,Entire home,Entire home/apt,6,3.0,3.0,3.0,34.07058324822541,-118.3907421,5.44839076884051,7812.0,2604.0,8.963544291996744,-0.6914468797589925,medium,16.283333333333335,34.1,17.816666666666666,25.19166666666667,479.754350051177,0.5,0.47819548872180456,0.2316770919391007,0.9391160080885768,-0.5154404682397923,0.3090119638040152
"Santa Monica apt, free parking, steps to the beach",Santa Monica,Other Cities,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,34.01559,-118.49408,7.232710764298053,4158.0,4158.0,8.33302993974291,0.17464095794631396,medium,16.933333333333334,42.916666666666664,25.98333333333333,29.924999999999997,245.5511811023622,0.8,0.4977443609022556,0.29411070459105393,0.7818467680163489,-0.44088415639542705,0.4151976043955613
2 Bedroom Modern Oasis,Del Rey,City of Los Angeles,Entire home,Entire home/apt,7,1.0,2.0,5.0,33.99017,-118.42252,8.193165017256614,1980.0,990.0,7.591357046698551,0.6408341011478742,medium,17.65,61.38333333333333,43.733333333333334,39.516666666666666,112.18130311614732,0.5,0.519298245614035,0.4248790274991148,0.5968512451479033,-0.42950577724319483,0.4314030798178891
"Weho 2 bdrm townhouse, Prime location, w/ parking",West Hollywood,Other Cities,Entire townhouse,Entire home/apt,5,1.0,2.0,3.0,34.09129807541799,-118.3518771,9.59731079357164,3834.0,1917.0,8.251924713801357,1.3223898659925533,medium,26.9,45.18333333333333,18.28333333333333,36.041666666666664,142.5278810408922,0.5,0.7974937343358395,0.3101616900743538,0.7616166856968595,-0.5559271325943663,0.2513494764363508
Lovely 2-bedroom Apt by Beverly and the Grove,Fairfax,City of Los Angeles,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,34.07706,-118.35588,8.96919617357107,1710.0,855.0,7.444833273892193,1.0175104528534944,medium,24.366666666666667,53.61666666666667,29.25,38.99166666666667,70.17783857729138,0.5,0.7213032581453634,0.3698807978283961,0.5603038099953175,-0.4644886610074153,0.38157926436417317
"Enchanting Venice Bungalow Oasis, 1 Blk From Beach",Venice,City of Los Angeles,Entire home,Entire home/apt,3,1.0,1.0,1.0,33.9911,-118.47604,8.368957880166018,5364.0,5364.0,8.587651655064798,0.7261618791859104,medium,22.783333333333335,52.43333333333333,29.649999999999995,37.608333333333334,235.43525969275785,0.5,0.6736842105263158,0.3615012392304969,0.8453570807180641,-0.5625483432912197,0.24191932247695652
1BR Culver City Apt by Just Bring Your Toothbrush!,Culver City,Other Cities,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.01527317540712,-118.3993675,7.054398891589598,1980.0,1980.0,7.591357046698551,0.08809048232288207,medium,18.433333333333334,39.88333333333333,21.45,29.15833333333333,107.41410488245931,0.7,0.5428571428571428,0.272630709311932,0.5968512451479033,-0.3861237827786906,0.49318919501586667
Modern Hollywood Hills house,Beverly Hills,Other Cities,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.06514,-118.37582,6.948181056938103,5742.0,5742.0,8.655737000864297,0.03653360072471154,medium,19.733333333333334,34.45,14.716666666666669,27.09166666666667,290.97972972972974,0.5,0.5819548872180451,0.23415555293284554,0.8623396134005737,-0.5163534221122121,0.30771170378074847
"Beverly Hills Oasis 2 BR Apt, Parking, Pool Access",Beverly Hills,Other Cities,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,34.07282,-118.39427,5.10806352740389,5076.0,2538.0,8.532475814947395,-0.8566377005750044,medium,15.466666666666667,38.583333333333336,23.116666666666667,27.025000000000002,328.1896551724138,0.5,0.45363408521303256,0.2634249970494512,0.831594566963076,-0.4714130517590304,0.37171731103685074
Chic Apartment in the Heart of Beverly Hills #8,Beverly Hills,Other Cities,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.06482,-118.39497,5.039542935624148,2754.0,2754.0,7.9211727215870145,-0.8898967860102867,medium,16.083333333333332,32.983333333333334,16.900000000000002,24.53333333333333,171.23316062176167,0.5,0.4721804511278195,0.22376962114953383,0.6791171925735311,-0.40805493659766506,0.46195409822029554
Peaceful Queen Bed Unit,Beverly Hills,Other Cities,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.06043,-118.38496,6.083254474374078,2700.0,2700.0,7.901377353792616,-0.38329154026667694,medium,18.433333333333334,36.85,18.416666666666668,27.641666666666666,146.47377938517178,0.5,0.5428571428571428,0.25115071403281014,0.6741796325658217,-0.4327591386900335,0.4267695315540004
Clean Fresh Cozy Private Room in West Hollywood,West Hollywood,Other Cities,Private room in rental unit,Private room,2,1.5,1.0,2.0,34.09236,-118.36394,8.457871599876682,2610.0,2610.0,7.8674885686991285,0.769319547901492,medium,23.866666666666667,49.95,26.083333333333336,36.90833333333333,109.35754189944134,0.5,0.706265664160401,0.34391596837011684,0.6657267504711122,-0.49695359311058857,0.3353416014908716
Work from Home ON the Venice Beach Canals!,Venice,City of Los Angeles,Entire rental unit,Entire home/apt,2,1.0,2.0,2.0,33.98275,-118.46626,8.868678650170846,2646.0,1323.0,7.881182202227102,0.9687204349672298,medium,27.166666666666668,57.96666666666667,30.8,42.56666666666667,97.39877300613496,0.5,0.8055137844611528,0.40068452732208193,0.6691423544634301,-0.5394479825881343,0.27481964356946625
Cozy room by the grove!,Mid-Wilshire,City of Los Angeles,Shared room in rental unit,Shared room,1,1.0,1.0,1.0,34.06555916875489,-118.3521585,9.310146011560711,558.0,558.0,6.326149473155099,1.1830034746781486,medium,27.0,51.583333333333336,24.583333333333336,39.29166666666667,20.666666666666668,0.5,0.800501253132832,0.3554821196742594,0.28127042940034813,-0.3737549716348408,0.5108052774396756
Charming Walk Street Hideaway by Open Air Homes,Venice,City of Los Angeles,Entire home,Entire home/apt,4,1.0,2.0,2.0,33.99278,-118.45945,7.744234565145547,7128.0,3564.0,8.871926251117628,0.4229285654038559,medium,22.633333333333333,55.68333333333333,33.05,39.15833333333333,314.9337260677467,0.5,0.669172932330827,0.3845155198866989,0.9162637135857481,-0.5941604691108872,0.1968962553806509
Bunk bed in Santa Monica 3,Santa Monica,Other Cities,Shared room in home,Shared room,4,1.0,1.0,6.0,34.02535039402483,-118.4870638,6.040816112937832,540.0,540.0,6.293419278846481,-0.4038906193475845,medium,19.116666666666667,38.95,19.833333333333336,29.033333333333335,28.24760244115083,0.8,0.5634085213032581,0.26602147999527914,0.2731065346881459,-0.2514694662652916,0.6849684623063356
Beachy Garden Guesthouse,Santa Monica,Other Cities,Entire guesthouse,Entire home/apt,4,2.0,2.0,2.0,34.01989,-118.48552,6.3464025242650575,5040.0,2520.0,8.525359754082631,-0.2555625868801489,medium,17.5,42.18333333333333,24.68333333333333,29.841666666666665,288.0,0.8,0.5147869674185463,0.2889177386993981,0.8298196073915632,-0.46414748092206876,0.3820651846708969
Venice Flower Cottage: Ideal WFH + dry sauna,Venice,City of Los Angeles,Entire cottage,Entire home/apt,4,1.0,2.0,2.0,33.99934,-118.46961,7.371866588592425,3960.0,1980.0,8.284251797621916,0.24218555043758827,medium,20.316666666666666,53.516666666666666,33.2,36.916666666666664,194.91386382280558,0.5,0.5994987468671679,0.36917266611589755,0.7696800325311342,-0.5115561702957836,0.3145441133327363
"Location location Santa Monica, west Los Angeles",Westwood,City of Los Angeles,Private room in rental unit,Private room,1,1.0,1.0,1.0,34.06009,-118.43191,1.5944911413986802,1314.0,1314.0,7.181591944611865,-2.5620842113820594,very_close,6.85,23.95,17.1,15.399999999999999,191.82481751824818,1.0,0.1944862155388471,0.15980172312050042,0.49464350636617255,-0.18816361183222322,0.7751308179792252
Centrally located room for rent in heart of city.,Culver City,Other Cities,Private room in townhouse,Private room,1,1.0,1.0,1.0,34.02205,-118.3953,6.844656675100152,1602.0,1602.0,7.3796321526095525,-0.013715910710493755,medium,18.15,39.31666666666667,21.16666666666667,28.733333333333334,88.26446280991736,0.7,0.5343358395989974,0.26861796294110707,0.5440406896407629,-0.3616406203242258,0.528058949495691
Beachside Apt 2Beds + 2Baths & Free Parking!,Santa Monica,Other Cities,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,34.01786,-118.49355,7.030507876391269,4824.0,2412.0,8.481566013773087,0.07649406590296785,medium,17.683333333333334,38.0,20.316666666666666,27.84166666666667,272.799245994345,0.8,0.5203007518796993,0.2592942287265431,0.8188961316074153,-0.45550752395218447,0.39437050588160394
Hollywood Home,Hollywood,City of Los Angeles,Entire home,Entire home/apt,1,1.0,1.0,1.0,34.10293,-118.35257,9.868311811044506,3384.0,3384.0,8.127109185346375,1.4539305570325742,medium,27.1,39.45,12.350000000000001,33.275000000000006,124.87084870848707,0.5,0.8035087719298246,0.2695621385577718,0.7304839394886877,-0.5371586350859768,0.2780802103147836
ZEN STUDIO - 6 blocks from BEACH!,Santa Monica,Other Cities,Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,34.00351,-118.478,7.315526023465259,3420.0,3420.0,8.137688184977605,0.21483850598911214,medium,18.983333333333334,37.916666666666664,18.93333333333333,28.45,180.15803336259876,0.8,0.5593984962406016,0.25870411896612766,0.7331226601249122,-0.4328094367153709,0.4266978953918993
House in Culver City,Culver City,Other Cities,Entire home,Entire home/apt,4,1.0,1.0,1.0,34.01260616556772,-118.4107837,6.59808873900571,2520.0,2520.0,7.83241092718792,-0.13339707281322338,medium,15.65,27.3,11.65,21.475,161.0223642172524,0.7,0.45914786967418547,0.183524135489201,0.6569773318349239,-0.36724012073406537,0.5200839501522064
Lovely Single Apartment #5,Del Rey,City of Los Angeles,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,33.99971,-118.41306,7.6290469260581615,1440.0,1440.0,7.273092595999522,0.36701784674266014,medium,15.15,33.85,18.700000000000003,24.5,95.04950495049505,0.5,0.44411027568922307,0.22990676265785437,0.5174665203997332,-0.3362010433982311,0.5642908620653955
Cozy and elegant apartment,Century City,City of Los Angeles,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,34.05268,-118.415,3.4280145857325555,1980.0,990.0,7.591357046698551,-1.6721136011060072,close,15.466666666666667,38.15,22.68333333333333,26.808333333333334,128.01724137931035,0.5,0.45363408521303256,0.26035642629529093,0.5968512451479033,-0.3769020088821293,0.5063231597248622
Wilshire walking distance UCLA,Westwood,City of Los Angeles,Private room in home,Private room,2,1.0,1.0,1.0,34.057292504542204,-118.442885,1.1836096307597415,1098.0,1098.0,7.002155954403621,-2.7615212406191367,very_close,6.466666666666667,7.916666666666667,1.4500000000000002,7.191666666666666,169.79381443298968,1.0,0.1829573934837093,0.04626460521657028,0.44988677446818476,-0.14409484887570073,0.8378950522721398
Central LA location 2bed/1Bath Cloverdale #8,Mid-City,City of Los Angeles,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,34.04743,-118.35114,9.64792438817792,990.0,495.0,6.898714534329988,1.3469571066347255,medium,19.833333333333332,40.55,20.716666666666665,30.191666666666663,49.91596638655462,0.5,0.5849624060150376,0.2773515873952555,0.424085373645475,-0.3505931887417524,0.543793078108772
