name,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,latitude,longitude,distance,monthly_rent,rent_efficiency_per_bedroom,log_rent,distance_norm,distance_bucket,drive_time,transit_time,commute_gap,commute_score,rent_per_min_drive,neigh_score,drive_time_norm,transit_time_norm,rent_norm,score
Westwood lovely three bedrooms three bathrooms,West Los Angeles,City of Los Angeles,Entire condo,Entire home/apt,6,3.0,3.0,3.0,34.04966,-118.43555,2.15244070766127,7182.0,2394.0,8.879472402074802,-2.3150175925907956,close,11.55,16.816666666666666,5.266666666666666,14.183333333333334,621.8181818181818,0.5,0.33583959899749377,0.09348813730439172,0.8692243500383273,-0.4171392471754574
Charming Beverly Hills Home,Beverly Hills,Other Cities,Entire home,Entire home/apt,6,3.0,3.0,3.0,34.07058324822541,-118.3907421,5.44839076884051,7812.0,2604.0,8.963544291996744,-0.7049053304625355,medium,16.283333333333335,37.11666666666667,20.833333333333332,26.700000000000003,479.754350051177,0.5,0.47819548872180456,0.2164563351842504,0.902727553872604,-0.49784093520243305
"Santa Monica apt, free parking, steps to the beach",Santa Monica,Other Cities,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,34.01559,-118.49408,7.232710764298053,4158.0,4158.0,8.33302993974291,0.16675699782496659,medium,16.933333333333334,35.416666666666664,18.48333333333333,26.174999999999997,245.5511811023622,0.8,0.4977443609022556,0.2061585058051489,0.6514634169106511,-0.3711403761959669
2 Bedroom Modern Oasis,Del Rey,City of Los Angeles,Entire home,Entire home/apt,7,1.0,2.0,5.0,33.99017,-118.42252,8.193165017256614,1980.0,990.0,7.591357046698551,0.6359507480932958,medium,17.65,51.45,33.800000000000004,34.55,112.18130311614732,0.5,0.519298245614035,0.3032811711256941,0.3559018667052998,-0.30880645459146927
"Weho 2 bdrm townhouse, Prime location, w/ parking",West Hollywood,Other Cities,Entire townhouse,Entire home/apt,5,1.0,2.0,3.0,34.09129807541799,-118.3518771,9.59731079357164,3834.0,1917.0,8.251924713801357,1.3218932806848052,medium,27.183333333333334,43.45,16.26666666666667,35.31666666666667,141.04230533415083,0.5,0.806015037593985,0.25482079757698134,0.6191424482816853,-0.4904256501062659
Lovely 2-bedroom Apt by Beverly and the Grove,Fairfax,City of Los Angeles,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,34.07706,-118.35588,8.96919617357107,1710.0,855.0,7.444833273892193,1.015051540697061,medium,24.366666666666667,51.483333333333334,27.116666666666667,37.925,70.17783857729138,0.5,0.7213032581453634,0.30348308934881374,0.2975111747456388,-0.34609206521162733
"Enchanting Venice Bungalow Oasis, 1 Blk From Beach",Venice,City of Los Angeles,Entire home,Entire home/apt,3,1.0,1.0,1.0,33.9911,-118.47604,8.368957880166018,5364.0,5364.0,8.587651655064798,0.7218277301200786,medium,22.483333333333334,41.3,18.816666666666663,31.891666666666666,238.57672349888804,0.5,0.6646616541353384,0.24179707218576477,0.7529318534711087,-0.49893065206619797
1BR Culver City Apt by Just Bring Your Toothbrush!,Culver City,Other Cities,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.01527317540712,-118.3993675,7.054398891589598,1980.0,1980.0,7.591357046698551,0.07964944843806322,medium,18.433333333333334,55.0,36.56666666666666,36.71666666666667,107.41410488245931,0.7,0.5428571428571428,0.3247854618879354,0.3559018667052998,-0.3001749819168498
Modern Hollywood Hills house,Beverly Hills,Other Cities,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.06514,-118.37582,6.948181056938103,5742.0,5742.0,8.655737000864297,0.027760725959090297,medium,19.733333333333334,34.95,15.216666666666669,27.34166666666667,290.97972972972974,0.5,0.5819548872180451,0.20333165068147402,0.7800643138043513,-0.47727852182344893
"Beverly Hills Oasis 2 BR Apt, Parking, Pool Access",Beverly Hills,Other Cities,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,34.07282,-118.39427,5.10806352740389,5076.0,2538.0,8.532475814947395,-0.8711593860161968,medium,15.466666666666667,35.46666666666667,20.0,25.46666666666667,328.1896551724138,0.5,0.45363408521303256,0.2064613831398284,0.7309439164817397,-0.4197600687845714
